ID,Longitude,Latitude,Timestamp,DAC,Original core file,Original synthetic file
4901777_009,-153.26429748535156,48.82460021972656,2015-10-07T08:47:00.000Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901777/profiles/D4901777_009.nc,
5904106_126,-146.492,47.133,2015-10-06T13:17:56.001Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904106/profiles/D5904106_126.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904106/profiles/SD5904106_126.nc
5903743_237,-141.849,50.041,2015-10-06T10:16:39.001Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903743/profiles/D5903743_237.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903743/profiles/SD5903743_237.nc
4901795_009,-143.2678985595703,48.903499603271484,2015-10-05T11:46:00.000Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901795/profiles/D4901795_009.nc,
4901774_009,-141.88800048828125,47.85660171508789,2015-10-05T05:59:00.000Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901774/profiles/D4901774_009.nc,
5903714_256,-141.152,51.473,2015-10-05T01:40:57.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903714/profiles/D5903714_256.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903714/profiles/SD5903714_256.nc
5904095_131,-147.053,50.538,2015-10-03T20:08:02.002Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904095/profiles/D5904095_131.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904095/profiles/SD5904095_131.nc
4902253_016,-146.4681,45.362,2015-10-03T10:16:24.999Z,JA,ftp://ftp.ifremer.fr/ifremer/argo/dac/jma/4902253/profiles/D4902253_016.nc,
4901766_059,-147.3549041748047,51.62889862060547,2015-10-03T08:49:00.000Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901766/profiles/D4901766_059.nc,
5904125_162,-148.836,50.961,2015-10-03T08:43:21.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904125/profiles/D5904125_162.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904125/profiles/SD5904125_162.nc
4901180_117,-142.48080444335938,51.05459976196289,2015-10-02T10:36:00.000Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901180/profiles/D4901180_117.nc,
4901188_117,-145.50770568847656,47.231998443603516,2015-10-02T10:12:00.000Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901188/profiles/D4901188_117.nc,
5901075_318,-153.504,47.119,2015-10-02T03:03:17.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5901075/profiles/D5901075_318.nc,
4900949_118,-147.77,47.179,2015-10-01T22:42:56.000Z,JA,ftp://ftp.ifremer.fr/ifremer/argo/dac/jma/4900949/profiles/D4900949_118.nc,
5901077_318,-143.463,46.81,2015-10-01T20:27:34.002Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5901077/profiles/D5901077_318.nc,
