layerCenter,GroupCount,mean_temp,median_temp
1332.33,255,3.76007451356626,3.74600005149841
1342.31,263,3.72696578004061,3.72000002861023
1352.29,288,3.67427082856496,3.70149993896484
1362.27,255,3.64622745233424,3.65799999237061
1372.25,255,3.61161961461983,3.61899995803833
1382.23,255,3.5802470627953,3.58899998664856
1392.21,263,3.55258934851382,3.55800008773804
1402.19,288,3.5073506972856,3.5164999961853
1412.17,255,3.48404706599666,3.49499988555908
1422.15,255,3.45169019418604,3.4539999961853
1432.13,255,3.41983528885187,3.42400002479553
1442.11,263,3.39305323067727,3.3989999294281
1452.09,286,3.35407692735845,3.35899996757507
1462.07,255,3.33315686712078,3.32599997520447
1472.05,255,3.30304705582413,3.29399991035461
1482.03,255,3.27067058413636,3.27300000190735
1492.01,263,3.2445513259322,3.24499988555908
1501.99,288,3.20887846830818,3.20899999141693
1511.97,255,3.18636862997915,3.1800000667572
1521.95,255,3.16589804163166,3.16400003433228
1531.93,255,3.14512156411713,3.14199995994568
1541.91,255,3.12372156311484,3.12599992752075
1551.89,263,3.09765019253633,3.10199999809265
1561.87,255,3.07904706281774,3.08999991416931
1571.85,255,3.05205490822886,3.06699991226196
1581.83,255,3.02617254444197,3.03299999237061
1591.81,262,3.0050305391996,3.00950002670288
1601.79,288,2.98037846965922,2.98500001430511
1611.77,255,2.96180392527113,2.96000003814697
1621.75,255,2.9412274500903,2.93499994277954
1631.73,255,2.91960392185286,2.91300010681152
1641.71,255,2.89836079373079,2.89499998092651
1651.69,263,2.87348669563409,2.87899994850159
1661.67,255,2.85899999468934,2.86400008201599
1671.65,255,2.83769412227705,2.83899998664856
1681.63,255,2.81922352267247,2.82399988174438
1691.61,263,2.80165399254048,2.79800009727478
1701.59,288,2.78100348015626,2.7775000333786
1711.57,255,2.76690196429982,2.76099991798401
1721.55,255,2.75201569444993,2.74699997901917
1731.53,254,2.73670865888671,2.73449993133545
1741.51,255,2.72171372525832,2.72099995613098
1751.49,263,2.70282508937125,2.70700001716614
1761.47,255,2.68915294665916,2.69300007820129
1771.45,255,2.6730941248875,2.67700004577637
1781.43,255,2.65795686291713,2.65899991989136
1791.41,263,2.64472624194939,2.64599990844727
1801.39,288,2.62995832496219,2.63150000572205
1811.37,255,2.61873724694346,2.62100005149841
1821.35,254,2.60583464367183,2.60949993133545
1831.33,253,2.59429643936308,2.59100008010864
1841.31,250,2.58499599647522,2.58599996566772
1851.29,258,2.57063565605371,2.57299995422363
1861.27,250,2.56092799472809,2.56699991226196
1871.25,251,2.54820318431018,2.55599999427795
1881.23,250,2.53671200180054,2.54299998283386
1891.21,258,2.52471705739812,2.52999997138977
1901.19,287,2.51117769267916,2.51699995994568
1911.17,247,2.50118218066721,2.50500011444092
1921.15,249,2.49036144827264,2.49499988555908
1931.13,251,2.4793346612102,2.48099994659424
1941.11,256,2.4681484401226,2.46799993515015
1951.09,258,2.45689534401709,2.45499992370605
1961.07,251,2.45021913061104,2.45099997520447
1971.05,244,2.44007786766427,2.44099998474121
1981.03,235,2.43232340508319,2.4300000667572
1991.01,185,2.42697297173577,2.42700004577637
2000.99,110,2.41942727132277,2.42650008201599
2010.97,30,2.43880000114441,2.46249997615814
