layerCenter,GroupCount,mean_temp,median_temp
1402.19,109,3.4654954157838,3.49000000953674
1412.17,76,3.41832894400546,3.4650000333786
1422.15,70,3.37127143996102,3.42149996757507
1432.13,70,3.34037141459329,3.38999998569489
1442.11,79,3.31960758981825,3.36299991607666
1452.09,109,3.30948622948533,3.32800006866455
1462.07,70,3.25632857254573,3.28600001335144
1472.05,76,3.23821053065752,3.26800000667572
1482.03,70,3.19924286093031,3.23849999904633
1492.01,78,3.17432052049881,3.22000002861023
1501.99,110,3.16710909063166,3.19899988174438
1511.97,70,3.11544285501753,3.16399991512299
1521.95,70,3.08914285387312,3.13100004196167
1531.93,76,3.07556578360106,3.12449991703033
1541.91,71,3.04538029348347,3.06399989128113
1551.89,82,3.0208414560411,3.03699994087219
1561.87,70,2.99262856074742,3.01250004768372
1571.85,70,2.97187142712729,2.99150002002716
1581.83,70,2.94701428413391,2.97450006008148
1591.81,83,2.93531325351761,2.96399998664856
1601.79,111,2.92855855580923,2.95300006866455
1611.77,70,2.87910000596728,2.9080001115799
1621.75,70,2.85761429922921,2.87950003147125
1631.73,70,2.83734285490853,2.86450004577637
1641.71,71,2.81991548941169,2.85400009155273
1651.69,88,2.80656818639148,2.83799993991852
1661.67,70,2.77694284915924,2.80449998378754
1671.65,70,2.75898572717394,2.78750002384186
1681.63,70,2.73989999975477,2.77250003814697
1691.61,75,2.72914666175842,2.75999999046326
1701.59,113,2.72530973696076,2.73799991607666
1711.57,76,2.69252631225084,2.71700000762939
1721.55,70,2.66767143862588,2.69599997997284
1731.53,70,2.65049999782017,2.68099999427795
1741.51,70,2.63397144249507,2.66599988937378
1751.49,83,2.6251445850694,2.65400004386902
1761.47,70,2.60235712868827,2.6324999332428
1771.45,76,2.59489474484795,2.62000000476837
1781.43,70,2.57601429053715,2.60899996757507
1791.41,75,2.5686000029246,2.60400009155273
1801.39,113,2.5751150435051,2.59500002861023
1811.37,70,2.5416714157377,2.57099997997284
1821.35,72,2.53249999218517,2.56599998474121
1831.33,74,2.51940541331832,2.54799997806549
1841.31,70,2.50257142271314,2.53350007534027
1851.29,83,2.49944577159652,2.52600002288818
1861.27,70,2.48048572199685,2.50850009918213
1871.25,70,2.47035712855203,2.49600005149841
1881.23,69,2.45902899037237,2.48000001907349
1891.21,74,2.45259457987708,2.47650003433228
1901.19,111,2.45626126323734,2.47300004959106
1911.17,70,2.42755714144026,2.44400000572205
1921.15,70,2.41614285877773,2.43250000476837
1931.13,70,2.40604284831456,2.42350006103516
1941.11,70,2.39672857352666,2.41299998760223
1951.09,75,2.39706667900085,2.41499996185303
1961.07,73,2.38119178928741,2.40499997138977
1971.05,71,2.3772253419312,2.39599990844727
1981.03,59,2.37922034021151,2.39499998092651
1991.01,38,2.37705265220843,2.38699996471405
2000.99,18,2.39294448163774,2.38100004196167
